month,monthly.returns
1/30/15,-0.029109654
2/27/15,0.056204598
3/31/15,-0.020079801
4/30/15,0.00983391
5/29/15,0.012856145
6/30/15,-0.025054433
7/31/15,0.022589234
8/31/15,-0.060950128
9/30/15,-0.030555942
10/30/15,0.085059686
11/30/15,0.00365512
12/31/15,-0.023096492
